"Дата"	"Сумма"	"Валюта"	"Счет"	"Статья"	"Группа статей"	"Комментарий"
"2026.05.22"	-120		"Мои деньги"	"Еда"	""	""
"2026.05.22"	-3000		"Мои деньги"	"Спорт"	""	""
"2026.05.22"	-600		"Мои деньги"	"Спорт"	""	""
"2026.05.22"	-1800		"Мои деньги"	"Спорт"	""	""
"2026.05.22"	-1668		"Мои деньги"	"Еда"	""	""
"2026.05.22"	-186		"Мои деньги"	"Продукты"	""	""
"2026.05.20"	-76266		"Мои деньги"	"Жилье"	""	""
"2026.05.20"	-10720		"Мои деньги"	"Продукты"	""	""
"2026.05.20"	-14050		"Мои деньги"	"Здоровье"	""	"Линзы"
"2026.05.20"	-22911		"Мои деньги"	"Коммуналка"	""	""
"2026.05.20"	-124		"Мои деньги"	"Продукты"	""	""
"2026.05.19"	-3000		"Мои деньги"	"Спорт"	""	""
"2026.05.19"	-1133		"Мои деньги"	"Продукты"	""	""
"2026.05.18"	-3000		"Мои деньги"	"Спорт"	""	""
"2026.05.18"	-9000		"Мои деньги"	"Досуг"	""	"Массаж"
"2026.05.18"	-538		"Мои деньги"	"Продукты"	""	""
"2026.05.16"	-1500		"Мои деньги"	"Спорт"	""	""
"2026.05.16"	-5390		"Мои деньги"	"Спорт"	""	""
"2026.05.16"	-1860		"Мои деньги"	"Еда"	""	""
"2026.05.16"	-1467		"Мои деньги"	"Еда"	""	""
"2026.05.16"	-1414		"Мои деньги"	"Еда"	""	""
"2026.05.16"	-1670		"Мои деньги"	"Продукты"	""	""
"2026.05.16"	-924		"Мои деньги"	"Продукты"	""	""
"2026.05.16"	-1345		"Мои деньги"	"Еда"	""	""
"2026.05.15"	-1800		"Мои деньги"	"Спорт"	""	""
"2026.05.13"	-1414		"Мои деньги"	"Еда"	""	""
"2026.05.13"	-1467		"Мои деньги"	"Еда"	""	""
"2026.05.12"	-1126		"Мои деньги"	"Еда"	""	""
"2026.05.11"	-1419		"Мои деньги"	"Еда"	""	""
"2026.05.11"	-13367		"Мои деньги"	"Красота"	""	""
"2026.05.11"	-485		"Мои деньги"	"Досуг"	""	""
"2026.05.10"	-2936		"Мои деньги"	"Продукты"	""	""
"2026.05.10"	-1190		"Мои деньги"	"Досуг"	""	""
"2026.05.10"	-523112		"Мои деньги"	"Техника"	""	""
"2026.05.10"	-2639		"Мои деньги"	"Еда"	""	""
"2026.05.10"	-9000		"Мои деньги"	"Досуг"	""	""
"2026.05.10"	-3880		"Мои деньги"	"Досуг"	""	""
"2026.05.10"	-265		"Мои деньги"	"Досуг"	""	""
"2026.05.10"	-1605		"Мои деньги"	"Еда"	""	""
